,ID,TMC,Severity,Start_Time,End_Time,City,County,State,Zipcode,Country,Temperature(F),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Sunrise_Sunset,Stop,Traffic_Signal,Weekday,Month,Day,Year,Season
18,A-513413,201,3,2020-12-31,2020-12-31,Phoenix,Maricopa,AZ,85003,US,58.0,10.0,0.0,0.0,Mostly Cloudy,Day,False,True,Thursday,12,31,2020,Winter
19,A-513414,201,2,2020-12-31,2020-12-31,Glendale,Maricopa,AZ,85308,US,57.0,10.0,0.0,0.0,Fair,Day,False,True,Thursday,12,31,2020,Winter
20,A-513415,201,3,2020-12-31,2020-12-31,Tempe,Maricopa,AZ,85282,US,56.0,10.0,3.0,0.0,Mostly Cloudy,Night,False,False,Thursday,12,31,2020,Winter
22,A-513417,201,3,2020-12-31,2020-12-31,Phoenix,Maricopa,AZ,85015,US,53.0,10.0,5.0,0.0,Mostly Cloudy,Night,False,False,Thursday,12,31,2020,Winter
23,A-513418,201,3,2020-12-31,2020-12-31,Phoenix,Maricopa,AZ,85017,US,54.0,10.0,6.0,0.0,Mostly Cloudy,Night,False,True,Thursday,12,31,2020,Winter
25,A-514826,201,2,2020-12-30,2020-12-30,Goodyear,Maricopa,AZ,85395,US,58.0,10.0,14.0,0.0,Fair,Day,False,True,Wednesday,12,30,2020,Winter
28,A-514829,201,2,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85050,US,45.0,10.0,6.0,0.0,Fair,Night,False,False,Wednesday,12,30,2020,Winter
29,A-514830,201,2,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85015,US,49.0,10.0,7.0,0.0,Fair,Night,False,True,Wednesday,12,30,2020,Winter
31,A-514832,245,3,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85015,US,41.0,10.0,6.0,0.0,Fair,Night,False,False,Wednesday,12,30,2020,Winter
36,A-514837,201,2,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85037,US,42.0,10.0,0.0,0.0,Fair,Day,True,False,Wednesday,12,30,2020,Winter
37,A-514838,201,2,2020-12-30,2020-12-30,Glendale,Maricopa,AZ,85306,US,48.0,10.0,3.0,0.0,Fair,Day,False,True,Wednesday,12,30,2020,Winter
39,A-514840,201,2,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85021,US,48.0,10.0,3.0,0.0,Fair,Day,False,True,Wednesday,12,30,2020,Winter
41,A-514842,201,2,2020-12-30,2020-12-30,Tempe,Maricopa,AZ,85282,US,54.0,10.0,0.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
43,A-514844,201,2,2020-12-30,2020-12-30,Glendale,Maricopa,AZ,85305,US,60.0,10.0,12.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
44,A-514845,245,2,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85027,US,59.0,10.0,6.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
45,A-514846,241,3,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85021,US,61.0,10.0,6.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
46,A-514847,201,2,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85006,US,63.0,10.0,5.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
48,A-514849,201,2,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85043,US,65.0,10.0,0.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
49,A-514850,201,3,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85003,US,64.0,10.0,7.0,0.0,Fair,Day,False,True,Wednesday,12,30,2020,Winter
52,A-514853,343,3,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85029,US,61.0,10.0,6.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
53,A-514854,201,2,2020-12-30,2020-12-30,Tempe,Maricopa,AZ,85282,US,63.0,10.0,6.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
54,A-514855,201,3,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85043,US,64.0,10.0,6.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
55,A-514856,201,2,2020-12-30,2020-12-30,Scottsdale,Maricopa,AZ,85256,US,63.0,10.0,6.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
56,A-514857,201,2,2020-12-30,2020-12-30,Scottsdale,Maricopa,AZ,85256,US,63.0,10.0,6.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
57,A-514858,201,2,2020-12-30,2020-12-30,Phoenix,Maricopa,AZ,85043,US,64.0,10.0,6.0,0.0,Fair,Day,False,False,Wednesday,12,30,2020,Winter
